contract_name,contract_status,contract_type,contract_start_date,contract_end_date,contract_renewal_date,contract_description,amount,quickbooks_customer_id,quickbooks_business_unit_id,external_id,deal_id,engagement_type,payment_type,monthly_points_allotment,priority,customer_display_type,hosting,account_manager,team_manager,clickup_folder_id,slack_channel_internal,slack_channel_external,dollar_per_hour,autorenewal,initial_term_length,subsequent_term_length,notice_period,next_invoice_date
Acacia Advisors - Aligned Growth Engine Launch,pending,project,2026-01-12,,,Acacia Advisors - Aligned Growth Engine Launch,6000,,193514801304854,MID20268205,53550487307,strategic,invoice,60,Tier 1,points,false,89288697,89288697,,,,,false,,,,
FoxyAI - Extension,pending,recurring,2026-02-01,,,FoxyAI - Extension,3500,,9341454074930384,MID20264158,53664186799,tactical,invoice,35,Tier 4,hours,false,89312700,89288697,,,,175,false,365,365,45,
Engage USA - Website Project,active,project,2026-01-08,,,Website plan; website build; and testimonials,15000,2198,193514801304854,MID20265733,53284608394,tactical,invoice,0,Tier 1,points,false,89312700,50351772,90175428513,,,,false,,,,
Rezku POS - Aligned Growth Engine Launch,active,project,2026-01-12,,,Rezku POS - Aligned Growth Engine Launch,3000,2197,193514801304854,MID20267991,46815402,strategic,invoice,30,Tier 1,points,false,60810281,60810281,90175301539,,,,false,,,,
CoachHub - ABM Aligned Growth Engine,active,project,2025-12-14,,,Aligned Growth Engine focused on ABM,0,2196,193514801304854,MID20253071,49134767250,strategic,invoice,0,Tier 1,points,false,89288697,89288697,90174964255,,,,false,,,,
AutoBytes - 2026 Services,active,recurring,2025-12-31,,,AutoBytes - 2026 Services,4000,,193514801304854,MID20253356,52332113843,strategic,invoice,70,Tier 1,points,false,89288697,89288697,90174968281,,,,true,365,90,45,2026-02-01
Milestone Towers - Aligned Growth Engine,active,project,2025-12-12,,,In-Depth Research and Strategy Process Comprehensive analysis of historical performance; market landscape; and competitor positioning to build a tailored strategy. Alignment on Goals and Success Metrics Collaborate to define 'ROI' for your business and ensure both teams share a unified understanding of objectives and key metrics. Annual and Quarterly Goal Setting  Establish benchmarks; define key metrics; and outline a strategic roadmap for the first quarter. Foundation Research & Roadmap Documentation Delivery of 100+ pgs. of documentation outlining the results of both the research and strategy work completed during the launch phase.,8000,2195,193514801304854,MID20252432,38333882931,strategic,invoice,0,Tier 1,points,false,60810284,60810284,90175301117,,,,false,,,,
Gallagher & Mohan - Ongoing Marketing Services - Post AGE,active,recurring,2025-12-14,,,Gallagher & Mohan - Ongoing Marketing Services - Post AGE,6000,2189,193514801304854,MID20256782,48476347916,strategic,invoice,60,Tier 4,points,false,89230992,89288697,90174760409,,,,true,180,180,-45,2026-02-01
Washington Speaker's Bureau - Aligned Growth Engine Launch,active,project,2025-12-04,,,Washington Speaker's Bureau - Aligned Growth Engine Launch,6000,2192,193514801304854,MID20251958,48181079355,strategic,invoice,0,Tier 1,points,false,60810281,60810281,90174558390,,,,false,,,,
Rugged Robotics - Marketing services,active,recurring,2025-12-01,,,Based on conversations and information shared by Rugged Robotics; we have prepared a list of priorities for this engagement. Services may include (but is not limited to) any of the following:  Manage ABM  Manage Paid Media  Manage Website  Manage Performance Reporting  Manage Tech Stack  Conduct Weekly Meetings The above equates to ~50 points per month,6000,14,9341454074930384,MID20251456,47416277118,tactical,invoice,60,Tier 4,points,false,89230992,50351772,90174380918,,,,true,150,150,45,2026-02-01
