Date Added,Notes / Updates,Status,Client,Contract ID,Type,Title
1/7/2026,"Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/LppP2491qvtI ( done updating the Essential Addons for Elementor, Royal Elementor Addons )
 Update Themes: all themes are up-tpdate - https://prnt.sc/2BKj6bbe4Krq Update PHP Version (When Applicable): PHP version is up-to-date
 
 Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/JOpZeYuygc_M Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-biosafeeng-com/bmk8qe7ayi?form_factor=desktop Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually.
 
 Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/5xx2PrWe6LEP Manual UX Pass: upon checking all the pages, all buttons and forms are working
 The sections are not aligned https://prnt.sc/gjbgJw289hWF
 The button label is not clearly visible https://prnt.sc/wziG8hwKh2rY
 Responsive Review: Everything looks fine in mobile version
 
 Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,BIOSAFE,MID20259985,web,Weekly Web Maintenance
1/14/2026,"Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/rROXdF8Zsj67
 ( Done updating Custom Post Type UI, Elementor, Essential Addons for Elementor, Performance Lab, Yoast SEO )
 Search & Filter Pro we need license key to able to update the plugin
 Update Themes: all themes are up-tpdate - https://prnt.sc/rROXdF8Zsj67
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/RDphP7xjqn9y
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-biosafeeng-com/rm6kleob73?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually.
 
 Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site -https://prnt.sc/zZjo_tMnK91w
 Manual UX Pass: upon checking all the pages, all buttons and forms are working
 -Everything looks fine
 Responsive Review: Everything looks fine in mobile version
 
 Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,BIOSAFE,MID20259985,web,Weekly Web Maintenance
1/20/2026,"Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/rROXdF8Zsj67( Done updating Custom Post Type UI, Elementor, Essential Addons for Elementor, Performance Lab, Yoast SEO )
 Search & Filter Pro we need license key to able to update the pluginUpdate Themes: all themes are up-tpdate - https://prnt.sc/rROXdF8Zsj67
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 Security & File AccessReview Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/RDphP7xjqn9y
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 PerformanceRun Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-biosafeeng-com/rm6kleob73?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 Link & UX ChecksRun Broken Link Checker: Removed internal broken links from the site -https://prnt.sc/zZjo_tMnK91w
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 -Everything looks fine 
 Responsive Review: Everything looks fine in mobile version
 
 Backup & ReportingVerify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,BIOSAFE,MID20259985,web,Weekly Web Maintenance
1/27/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/5-vM_r0wMvBh
 ( done updating the Custom Post Type UI,Elementor,Elementor Pro,Essential Addons for Elementor,WP Rollback,Yoast SEO )
 Update Themes: all themes are up-tpdate - https://prnt.sc/5-vM_r0wMvBh
 ( done updating Hello Elementor,Twenty Twenty-Five,Twenty Twenty-Four,Twenty Twenty-Two )
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/4MN5MyrYF3_t
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-biosafeeng-com/grgnjnt9gc?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/9wVDGlBquNGg
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - Everything looks fine
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,BIOSAFE,MID20259985,web,Weekly Web Maintenance
2/3/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/Z9RgJ2xG_JHf
 ( Done updating Elementor,Elementor Pro )
 Update Themes: all themes are up-tpdate - https://prnt.sc/Z9RgJ2xG_JHf
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/3Bz0UhEdYJNN
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) -https://pagespeed.web.dev/analysis/https-biosafeeng-com/f1pn3qrfg0?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/Nal4d8CtDGuC
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - Everything looks fine
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,BIOSAFE,MID20259985,web,Weekly Web Maintenance
2/10/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/KzehGOROkJRA
 ( Done updating Elementor,Essential Addons for Elementor )
 Update Themes: all themes are up-tpdate - https://prnt.sc/KzehGOROkJRA
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/AuGQPftdctig
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) -https://pagespeed.web.dev/analysis/https-biosafeeng-com/061384ii2i?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/BMtDNNEXIKB_
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,BIOSAFE,MID20259985,web,Weekly Web Maintenance
2/13/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/fWrLAGlDlkGx
 ( Done updating Elementor,Elementor Pro,Essential Addons for Elementor
 Update Themes: all themes are up-tpdate - https://prnt.sc/fWrLAGlDlkGx
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/W_e322qBvjt3
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) -https://pagespeed.web.dev/analysis/https-biosafeeng-com/r1weagrarz?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/5P5pAWsr9IW6
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - In the homepage learn more is not hovering - https://prnt.sc/SOZ-lfgorpZ7
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,BIOSAFE,MID20259985,web,Weekly Web Maintenance
2/17/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/PYSzSewsCUmJ
 ( Done updating Redirection )
 Update Themes: all themes are up-tpdate - https://prnt.sc/PYSzSewsCUmJ
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/LgaSukORceVr
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) -https://pagespeed.web.dev/analysis/https-biosafeeng-com/8eph9si4cs?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/Cx1Kyf0Vgs-r
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - In the homepage learn more is not hovering - https://prnt.sc/SOZ-lfgorpZ7
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,BIOSAFE,MID20259985,web,Weekly Web Maintenance
2/24/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/ctXjWbC1LhMj
 ( Done updating Elementor,Essential Addons for Elementor,Redirection,Yoast SEO )
 Update Themes: all themes are up-tpdate - https://prnt.sc/ctXjWbC1LhMj
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/UDLXyN9drH5u
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-biosafeeng-com/3yvbqjldeg?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/tkB8q3yX0qSw
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - In the homepage learn more is not hovering - https://prnt.sc/SOZ-lfgorpZ7
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,BIOSAFE,MID20259985,web,Weekly Web Maintenance
1/8/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/IbvULi7ZHU06
 ( done updating the Redirection, Yoast SEO, Yoast SEO Premium )
 Update Themes: all themes are up-tpdate - https://prnt.sc/IbvULi7ZHU06
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/w_x_Kkhc72P6
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-communityit-com/c2sbqh9957?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/vsXMrWT8sV8h
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - When hovering the Get Started button text, the text is not visible https://prnt.sc/U-G3iQeRiRUt
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,COMMUNITY IT,MID202510020,web,Weekly Web Maintenance
