task_name;contract_name;category;list_type;points;time_spent_hours;date_done;month
Build 1:1 ABM contact list program (Pinpoint);Global Shared Services - Marketing Services;ABM;Deliverables;40;;2026-03-31 22:43:48.446+00;2026-03
Set up performance reporting;Rezku POS - Ongoing Services - Post AGE;Performance/Reporting;Deliverables;15;;2026-03-31 21:13:23.323+00;2026-03
Manage performance reporting;Acacia Advisors - Ongoing Marketing Services;Performance/Reporting;Deliverables;5;;2026-03-31 21:04:33.178+00;2026-03
Manage performance reporting (March);Sedra Solutions - Marketing services;Performance/Reporting;Deliverables;5;;2026-03-31 20:34:56.068+00;2026-03
Manage ABM (March);Planon - Marketing Services;ABM;Deliverables;5;;2026-03-31 20:34:49.05+00;2026-03
Support Request Window (March);PTO Exchange - Marketing Services;Account Management;Deliverables;;;2026-03-31 20:18:26.876+00;2026-03
Manage paid media [March];Rugged Robotics - Marketing services;Paid Media;Deliverables;8;;2026-03-31 20:15:27.961+00;2026-03
Manage web [March];Rugged Robotics - Marketing services;Web Development;Deliverables;5;;2026-03-31 20:15:21.788+00;2026-03
Tech stack [March];Rugged Robotics - Marketing services;Tech Stack/Ops;Deliverables;10;;2026-03-31 20:15:18.451+00;2026-03
Facilitate Client Meetings [March];Rugged Robotics - Marketing services;Account Management;Deliverables;10;;2026-03-31 20:15:14.524+00;2026-03
Manage ABM [March];Rugged Robotics - Marketing services;ABM;Deliverables;10;;2026-03-31 20:15:11.65+00;2026-03
Manage paid media [March];PTO Exchange - Marketing Services;Paid Media;Deliverables;8;;2026-03-31 20:15:08.547+00;2026-03
Tech stack [March];PTO Exchange - Marketing Services;Tech Stack/Ops;Deliverables;23;;2026-03-31 20:15:04.957+00;2026-03
Facilitate Client Meetings [March];PTO Exchange - Marketing Services;Account Management;Deliverables;10;;2026-03-31 20:15:01.416+00;2026-03
Manage ABM [March];PTO Exchange - Marketing Services;ABM;Deliverables;10;;2026-03-31 20:14:54.277+00;2026-03
Tech stack [March];Gallagher & Mohan - Ongoing Marketing Services - Post AGE;Tech Stack/Ops;Deliverables;10;;2026-03-31 20:14:50.916+00;2026-03
Facilitate Client Meetings [March];Gallagher & Mohan - Ongoing Marketing Services - Post AGE;Account Management;Deliverables;10;;2026-03-31 20:14:47.928+00;2026-03
Tech stack [March];Data Assessment Solutions - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;24;;2026-03-31 20:14:44.268+00;2026-03
Manage ABM [March];Data Assessment Solutions - Ongoing Marketing Services;ABM;Deliverables;10;;2026-03-31 20:14:40.827+00;2026-03
Facilitate Client Meetings [March];Data Assessment Solutions - Ongoing Marketing Services;Account Management;Deliverables;10;;2026-03-31 20:14:37.15+00;2026-03
Manage paid media [March];Data Assessment Solutions - Ongoing Marketing Services;Paid Media;Deliverables;8;;2026-03-31 20:14:34.832+00;2026-03
Tech stack [March];Agrippon - Marketing services;Tech Stack/Ops;Deliverables;13;;2026-03-31 20:14:30.818+00;2026-03
Manage performance reporting [March];Agrippon - Marketing services;Performance/Reporting;Deliverables;5;;2026-03-31 20:14:24.937+00;2026-03
Facilitate Client Meetings [March];Agrippon - Marketing services;Account Management;Deliverables;10;;2026-03-31 20:14:21.458+00;2026-03
Manage ABM [March];Agrippon - Marketing services;ABM;Deliverables;10;;2026-03-31 20:14:18.958+00;2026-03
Manage web [March];Ricoh - Marketing services;Web Development;Deliverables;5;;2026-03-31 20:14:14.671+00;2026-03
Facilitate Client Meetings [March];Ricoh - Marketing services;Account Management;Deliverables;10;;2026-03-31 20:14:12.068+00;2026-03
Tech stack [March];Ricoh - Marketing services;Tech Stack/Ops;Deliverables;14;;2026-03-31 20:14:07.214+00;2026-03
Manage SEO [March];iCorps - Marketing Services;SEO/AEO;Deliverables;5;;2026-03-31 20:14:02.512+00;2026-03
Manage ABM [March];iCorps - Marketing Services;ABM;Deliverables;10;;2026-03-31 20:13:56.188+00;2026-03
Facilitate Client Meetings [March];iCorps - Marketing Services;Account Management;Deliverables;10;;2026-03-31 20:13:46.332+00;2026-03
Manage performance reporting [March];iCorps - Marketing Services;Performance/Reporting;Deliverables;5;;2026-03-31 20:13:42.058+00;2026-03
Manage web [March];iCorps - Marketing Services;Web Development;Deliverables;5;;2026-03-31 20:13:28.252+00;2026-03
Tech stack [March];iCorps - Marketing Services;Tech Stack/Ops;Deliverables;14;;2026-03-31 20:13:02.447+00;2026-03
